"c_table","c_facet","c_cid"
"Zebrafish:Synaptic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Synaptic Pair Study_Syn 2_fkey""]}, ""RID""], ""choices"": [""1ECM""]}]}","record"
"Zebrafish:Synaptic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Synaptic Pair Study_Syn 1_fkey""]}, ""RID""], ""choices"": [""1ECM""]}]}","record"
"Zebrafish:Image Region","{""and"": [{""source"": ""RID"", ""choices"": [""1EC2""]}]}","record"
"Zebrafish:Image Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Pair Study_Nuc 2_fkey""]}, ""RID""], ""choices"": [""1EC2""]}]}","record"
"Zebrafish:Image Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Pair Study_Nuc 1_fkey""]}, ""RID""], ""choices"": [""1EC2""]}]}","record"
"Zebrafish:Image Region","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Region_QA_Source_fkey""]}, ""RID""], ""choices"": [""1EC2""]}]}","record"
"Zebrafish:Nucleic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Nucleic Pair Study_Nuc 2_fkey""]}, ""RID""], ""choices"": [""1EC2""]}]}","record"
"Zebrafish:Nucleic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Nucleic Pair Study_Nuc 1_fkey""]}, ""RID""], ""choices"": [""1EC2""]}]}","record"
"Zebrafish:Synaptic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Synaptic Pair Study_Syn 2_fkey""]}, ""RID""], ""choices"": [""1EC2""]}]}","record"
"Zebrafish:Synaptic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Synaptic Pair Study_Syn 1_fkey""]}, ""RID""], ""choices"": [""1EC2""]}]}","record"
"Zebrafish:Image Region","{""and"": [{""source"": ""RID"", ""choices"": [""1EC2""]}]}","record"
"Zebrafish:Image Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Pair Study_Nuc 1_fkey""]}, ""RID""], ""choices"": [""1EC2""]}]}","record"
"Zebrafish:Image Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Pair Study_Nuc 2_fkey""]}, ""RID""], ""choices"": [""1EC2""]}]}","record"
"Zebrafish:Image Region","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Region_QA_Source_fkey""]}, ""RID""], ""choices"": [""1EC2""]}]}","record"
"Zebrafish:Nucleic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Nucleic Pair Study_Nuc 1_fkey""]}, ""RID""], ""choices"": [""1EC2""]}]}","record"
"Zebrafish:Nucleic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Nucleic Pair Study_Nuc 2_fkey""]}, ""RID""], ""choices"": [""1EC2""]}]}","record"
"Zebrafish:Synaptic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Synaptic Pair Study_Syn 2_fkey""]}, ""RID""], ""choices"": [""1EC2""]}]}","record"
"Zebrafish:Synaptic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Synaptic Pair Study_Syn 1_fkey""]}, ""RID""], ""choices"": [""1EC2""]}]}","record"
"Zebrafish:Image Region","{""and"": [{""source"": ""RID"", ""choices"": [""1ECM""]}]}","record"
"Zebrafish:Image Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Pair Study_Nuc 2_fkey""]}, ""RID""], ""choices"": [""1ECM""]}]}","record"
"Zebrafish:Image Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Pair Study_Nuc 1_fkey""]}, ""RID""], ""choices"": [""1ECM""]}]}","record"
"Zebrafish:Image Region","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Region_QA_Source_fkey""]}, ""RID""], ""choices"": [""1ECM""]}]}","record"
"Zebrafish:Nucleic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Nucleic Pair Study_Nuc 1_fkey""]}, ""RID""], ""choices"": [""1ECM""]}]}","record"
"Zebrafish:Nucleic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Nucleic Pair Study_Nuc 2_fkey""]}, ""RID""], ""choices"": [""1ECM""]}]}","record"
"Zebrafish:Synaptic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Synaptic Pair Study_Syn 2_fkey""]}, ""RID""], ""choices"": [""1ECM""]}]}","record"
"Zebrafish:Synaptic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Synaptic Pair Study_Syn 1_fkey""]}, ""RID""], ""choices"": [""1ECM""]}]}","record"
"Zebrafish:Subject","{""and"": [{""source"": ""ID"", ""choices"": [""ZfZdu20190730A""]}]}","record"
"Zebrafish:Image","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image_Subject_fkey""]}, ""RID""], ""choices"": [""1EB0""]}]}","record"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Subject_fkey""]}, ""RID""], ""choices"": [""1EB0""]}]}","record"
"Zebrafish:Subject","{""and"": [{""source"": ""ID"", ""choices"": [""ZfZdu20190730A""]}]}","record"
"Zebrafish:Image","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image_Subject_fkey""]}, ""RID""], ""choices"": [""1EB0""]}]}","record"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Subject_fkey""]}, ""RID""], ""choices"": [""1EB0""]}]}","record"
"Zebrafish:Behavior","{""and"": [{""source"": ""RID"", ""choices"": [""1DBA""]}]}","record"
"Zebrafish:Subject","{""and"": [{""source"": ""RID"", ""choices"": [""1DB4""]}]}","record"
"Zebrafish:Image","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image_Subject_fkey""]}, ""RID""], ""choices"": [""1DB4""]}]}","record"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Subject_fkey""]}, ""RID""], ""choices"": [""1DB4""]}]}","record"
"Zebrafish:Behavior","{""and"": [{""source"": ""RID"", ""choices"": [""1DBA""]}]}","record"
"Zebrafish:Behavior","{""and"": [{""source"": ""RID"", ""choices"": [""1D92""]}]}","record"
"Zebrafish:Subject","{""and"": [{""source"": ""RID"", ""choices"": [""1D8W""]}]}","record"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Subject_fkey""]}, ""RID""], ""choices"": [""1D8W""]}]}","record"
"Zebrafish:Image","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image_Subject_fkey""]}, ""RID""], ""choices"": [""1D8W""]}]}","record"
"Zebrafish:Subject","{""and"": [{""source"": ""ID"", ""choices"": [""ZfCDS20190529B""]}]}","record"
"Zebrafish:Image","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image_Subject_fkey""]}, ""RID""], ""choices"": [""1D1P""]}]}","record"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Subject_fkey""]}, ""RID""], ""choices"": [""1D1P""]}]}","record"
"Zebrafish:Subject","{""and"": [{""source"": ""ID"", ""choices"": [""ZfCDS20190528A""]}]}","record"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Subject_fkey""]}, ""RID""], ""choices"": [""1D0P""]}]}","record"
"Zebrafish:Image","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image_Subject_fkey""]}, ""RID""], ""choices"": [""1D0P""]}]}","record"
"Zebrafish:Subject","{""and"": [{""source"": ""ID"", ""choices"": [""ZfCDS20190528E""]}]}","record"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Subject_fkey""]}, ""RID""], ""choices"": [""1D0Y""]}]}","record"
"Zebrafish:Image","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image_Subject_fkey""]}, ""RID""], ""choices"": [""1D0Y""]}]}","record"
"Zebrafish:Subject","{""and"": [{""source"": ""ID"", ""choices"": [""ZfCDS20190525A""]}]}","record"
"Zebrafish:Image","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image_Subject_fkey""]}, ""RID""], ""choices"": [""1CZY""]}]}","record"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Subject_fkey""]}, ""RID""], ""choices"": [""1CZY""]}]}","record"
"Zebrafish:Subject","{""and"": [{""source"": ""ID"", ""choices"": [""ZfCDS20190621B""]}]}","record"
"Zebrafish:Image","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image_Subject_fkey""]}, ""RID""], ""choices"": [""1D8W""]}]}","record"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Subject_fkey""]}, ""RID""], ""choices"": [""1D8W""]}]}","record"
"Zebrafish:Subject","{""and"": [{""source"": ""ID"", ""choices"": [""ZfCDS20190628B""]}]}","record"
"Zebrafish:Image","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image_Subject_fkey""]}, ""RID""], ""choices"": [""1DB4""]}]}","record"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Subject_fkey""]}, ""RID""], ""choices"": [""1DB4""]}]}","record"
"Zebrafish:Subject","{""and"": [{""source"": ""RID"", ""choices"": [""1EB4""]}]}","record"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Subject_fkey""]}, ""RID""], ""choices"": [""1EB4""]}]}","record"
"Zebrafish:Image","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image_Subject_fkey""]}, ""RID""], ""choices"": [""1EB4""]}]}","record"
"Zebrafish:Subject","{""and"": [{""source"": ""RID"", ""choices"": [""1EB4""]}]}","record"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Subject_fkey""]}, ""RID""], ""choices"": [""1EB4""]}]}","record"
"Zebrafish:Image","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image_Subject_fkey""]}, ""RID""], ""choices"": [""1EB4""]}]}","record"
"Zebrafish:Subject","{""and"": [{""source"": ""RID"", ""choices"": [""1ECE""]}]}","record"
