"c_table","c_facet","c_cid"
"Microscopy:Collection","{""and"": [{""source"": ""RID"", ""choices"": [""2Y40""]}]}","record"
"Microscopy:Scan",NULL,"record"
"Microscopy:Scan","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, ""RID""], ""choices"": [""2Y40""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": ""RID"", ""choices"": [""2Z84""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, ""RID""], ""choices"": [""2Z84""]}]}","record"
"Microscopy:Scan",NULL,"record"
"Microscopy:Scan",NULL,"record"
"Microscopy:Scan",NULL,"record"
"Microscopy:Scan",NULL,"record"
"Microscopy:Scan","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, ""RID""], ""choices"": [""2Z84""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, ""RID""], ""choices"": [""2Z84""]}]}","record"
"Microscopy:Scan","{""and"": [{""search"": [""20141019-SW4 UGS cryo-EAR""], ""source"": ""*""}]}","record"
"Microscopy:Scan","{""and"": [{""search"": [""20141019-SW4 UGS cryo-EAR""], ""source"": ""*""}]}","record"
"Microscopy:Scan","{""and"": [{""search"": [""20141019-SW4 UGS cryo-EAR""], ""source"": ""*""}]}","record"
"Microscopy:Scan","{""and"": [{""search"": [""20141019-SW4 UGS cryo-EAR""], ""source"": ""*""}, {""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, ""RID""], ""choices"": [""2Z84""]}]}","record"
"Microscopy:Scan","{""and"": [{""search"": [""20141019-SW4 UGS cryo-EAR""], ""source"": ""*""}]}","record"
"Microscopy:Scan",NULL,"record"
"Microscopy:Scan","{""and"": [{""search"": [""20141019-SW4 UGS cryo-EAR""], ""source"": ""*""}, {""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, ""RID""], ""choices"": [""2Z84""]}]}","record"
"Microscopy:Scan",NULL,"record"
"Microscopy:Scan",NULL,"record"
"Microscopy:Scan","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, ""RID""], ""choices"": [""2Z84""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, ""RID""], ""choices"": [""2Z84""]}]}","record"
"Microscopy:Scan","{""and"": [{""search"": [""20141019-SW4 UGS cryo-EAR""], ""source"": ""*""}]}","record"
"Microscopy:Scan","{""and"": [{""search"": [""20141019-SW4 UGS cryo-EAR""], ""source"": ""*""}]}","record"
"Microscopy:Scan","{""and"": [{""search"": [""20141019-SW4 UGS cryo-EAR""], ""source"": ""*""}]}","record"
"Microscopy:Scan","{""and"": [{""search"": [""20141019-SW4 UGS cryo-EAR""], ""source"": ""*""}, {""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, ""RID""], ""choices"": [""2Z84""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": ""RID"", ""choices"": [""29D6""]}]}","record"
"Microscopy:scan_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""scan_comments_Scan id_fkey""]}, ""RID""], ""choices"": [""29D6""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, ""RID""], ""choices"": [""29D6""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": ""RID"", ""choices"": [""1VV2""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, ""RID""], ""choices"": [""1VV2""]}]}","record"
"Microscopy:scan_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""scan_comments_Scan id_fkey""]}, ""RID""], ""choices"": [""1VV2""]}]}","record"
"Microscopy:species","{""and"": [{""source"": ""RID"", ""choices"": [""6PP""]}]}","record"
"Microscopy:Specimen","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""Specimen_Species_fkey""]}, ""RID""], ""choices"": [""6PP""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""Scan_species_fkey""]}, ""RID""], ""choices"": [""6PP""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": ""RID"", ""choices"": [""1VV2""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, ""RID""], ""choices"": [""1VV2""]}]}","record"
"Microscopy:scan_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""scan_comments_Scan id_fkey""]}, ""RID""], ""choices"": [""1VV2""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": ""RID"", ""choices"": [""1VV2""]}]}","record"
"Microscopy:scan_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""scan_comments_Scan id_fkey""]}, ""RID""], ""choices"": [""1VV2""]}]}","record"
