"c_table","c_facet"
"Microscopy:Specimen","{""and"": [{""search"": [""P""], ""source"": ""*""}, {""ranges"": [{""min"": 0}, {""max"": 1}], ""source"": ""Number of Slides""}]}"
"Microscopy:Specimen","{""and"": [{""search"": [""P""], ""source"": ""*""}, {""ranges"": [{""min"": 0}, {""max"": 1}], ""source"": ""Number of Slides""}, {""ranges"": [{""min"": 0}, {""max"": 1}], ""source"": ""Number of Scans""}]}"
"Microscopy:Specimen","{""and"": [{""search"": [""PKD""], ""source"": ""*""}, {""ranges"": [{""min"": 0}, {""max"": 1}], ""source"": ""Number of Slides""}, {""ranges"": [{""min"": 0}, {""max"": 1}], ""source"": ""Number of Scans""}]}"
"Microscopy:Specimen","{""and"": [{""search"": [""PKD""], ""source"": ""*""}, {""ranges"": [{""min"": 0}, {""max"": 1}], ""source"": ""Number of Slides""}, {""ranges"": [{""min"": 0}, {""max"": 1}], ""source"": ""Number of Scans""}]}"
"Microscopy:Specimen","{""and"": [{""search"": [""PKD""], ""source"": ""*""}, {""ranges"": [{""min"": 0}, {""max"": 1}], ""source"": ""Number of Scans""}]}"
"Microscopy:Specimen","{""and"": [{""search"": [""PKD""], ""source"": ""*""}, {""ranges"": [{""min"": 0}, {""max"": 1}], ""source"": ""Number of Slides""}, {""ranges"": [{""min"": 0}, {""max"": 1}], ""source"": ""Number of Scans""}]}"
"Microscopy:Specimen","{""and"": [{""search"": [""PKD""], ""source"": ""*""}, {""ranges"": [{""min"": 0}, {""max"": 1}], ""source"": ""Number of Slides""}]}"
"Microscopy:Specimen","{""and"": [{""ranges"": [{""min"": 0}, {""max"": 1}], ""source"": ""Number of Slides""}, {""ranges"": [{""min"": 0}, {""max"": 1}], ""source"": ""Number of Scans""}]}"
"Microscopy:Specimen","{""and"": [{""ranges"": [{""min"": 0}, {""max"": 1}], ""source"": ""Number of Slides""}, {""ranges"": [{""min"": 0}, {""max"": 1}], ""source"": ""Number of Scans""}]}"
"Microscopy:Specimen","{""and"": [{""ranges"": [{""min"": 0}, {""max"": 1}], ""source"": ""Number of Scans""}]}"
"Microscopy:Specimen","{""and"": [{""ranges"": [{""min"": 0}, {""max"": 1}], ""source"": ""Number of Slides""}]}"
"Microscopy:Specimen","{""and"": [{""ranges"": [{""min"": 0}, {""max"": 1}], ""source"": ""Number of Slides""}, {""ranges"": [{""min"": 0}, {""max"": 1}], ""source"": ""Number of Scans""}]}"
"Microscopy:Specimen","{""and"": [{""search"": [""PKD""], ""source"": ""*""}, {""ranges"": [{""min"": 0}, {""max"": 1}], ""source"": ""Number of Scans""}]}"
"Microscopy:Specimen","{""and"": [{""search"": [""PKD""], ""source"": ""*""}, {""ranges"": [{""min"": 0}, {""max"": 1}], ""source"": ""Number of Slides""}, {""ranges"": [{""min"": 0}, {""max"": 1}], ""source"": ""Number of Scans""}]}"
